Times,,testuser1,testuser2,testuser3,testuser4,Stestuser5Y,testuser6,testuser7,testuser8,testuser9,testuser10,Par 1,Par 2,Par 3,Average Time,Average (Top 4),Median Time,,,,,,,,,,,
,Cheese Land,2:01.362,1:50.604,2:02.937,1:58.776,2:05.009,2:03.407,2:03.407,2:31.532,2:04.217,2:01.889,1:55.934,2:05.206,,2:04.314,1:58.158,2:03.172,Par 2 Completion,100%,100%,81%,100%,100%,0%,8%,46%,77%,0%
,Wild Woods,1:56.467,1:52.725,1:59.045,1:56.992,2:01.459,1:59.483,1:56.941,2:13.067,2:01.559,2:03.622,1:57.687,2:03.956,,2:00.136,1:55.781,1:59.264,Ranks - Total,JE,LE,CH,MT,SY,MP,JC,KS,VM,JS
,Animal Crossing,1:45.509,1:41.981,1:49.144,1:47.831,1:49.637,1:46.031,1:52.019,2:01.375,1:51.975,1:51.609,1:45.119,1:52.632,,1:49.711,1:45.338,1:49.391,Position,2,1,4,3,5,10,6,9,8,7
Shell Cup,Moo Moo Meadows,1:33.842,1:28.137,1:40.299,1:33.027,1:36.127,1:49.170,1:33.620,1:51.446,1:42.662,1:32.110,1:33.458,1:41.735,,1:37.311,1:31.724,1:34.985,Total Points,793,1245,604,736,567,268,467,339,400,462
,GBA Mario Circuit,1:33.593,1:30.197,1:41.109,1:42.534,1:38.113,1:41.838,1:37.077,1:49.683,1:42.315,1:37.920,1:32.767,1:39.018,,1:39.438,1:34.697,1:39.611,,,,,,,,,,,
,Cheep Cheep Beach,1:55.909,1:51.991,1:58.663,2:02.496,2:01.422,2:04.827,2:01.966,2:06.967,2:02.871,2:02.725,1:56.968,2:04.199,,2:00.984,1:56.996,2:02.231,,,,,,,,,,,
,Toad's Turnpike,1:53.249,1:50.144,2:01.332,1:57.007,2:05.086,2:06.654,2:02.371,2:08.587,2:06.190,1:53.723,1:53.473,2:06.522,,2:00.434,1:53.531,2:01.852,,,,,,,,,,,
Banana Cup,Dry Dry Desert,2:14.464,2:03.163,2:11.867,2:22.554,2:24.329,2:16.803,2:18.799,2:20.768,2:20.063,2:16.024,2:12.358,2:25.845,,2:16.883,2:11.380,2:17.801,,,,,,,,,,,
,Donut Plains 3,1:24.581,1:22.623,1:35.629,1:28.669,1:31.916,,1:31.687,1:42.498,1:34.518,1:32.746,1:26.390,1:33.238,,1:31.652,1:26.890,1:31.916,,,,,,,,,,,
,Royal Raceway,2:03.226,2:00.830,2:09.086,2:09.849,2:13.153,,2:02.631,2:17.378,2:12.888,2:05.803,2:01.996,2:13.445,,2:08.316,2:03.123,2:09.086,,,,,,,,,,,
,DK Jungle,2:15.253,2:07.616,2:15.230,2:15.607,2:18.654,,2:17.781,2:21.159,2:20.399,2:17.046,2:11.709,2:19.358,,2:16.527,2:13.427,2:17.046,,,,,,,,,,,
Leaf Cup,DS Wario Stadium,2:03.240,1:57.406,2:08.332,2:04.470,2:08.635,,2:08.128,2:15.457,2:08.970,2:07.011,2:04.822,2:08.953,,2:06.850,2:03.032,2:08.128,,,,,,,,,,,
,GCN Sherbert Land,2:04.636,1:56.288,2:08.823,2:11.832,2:14.987,,2:11.698,2:22.654,2:14.125,2:08.391,2:02.778,2:15.996,,2:10.382,2:04.535,2:11.698,,,,,,,,,,,
,Music Park,2:08.449,2:02.139,2:11.132,2:13.689,2:13.935,,2:14.538,2:17.102,2:14.737,2:12.069,2:07.874,2:14.716,,2:11.977,2:08.447,2:13.689,,,,,,,,,,,
,Yoshi Valley,2:07.427,2:04.212,2:12.032,2:14.559,2:14.989,,2:09.022,2:14.105,2:16.620,2:10.209,2:05.575,2:11.291,,2:11.464,2:07.718,2:12.032,,,,,,,,,,,
Lightning Cup,Tick-Tock Clock,1:55.531,1:52.505,1:59.362,2:02.017,2:02.640,,2:00.203,2:04.763,2:06.406,2:04.892,1:57.205,2:06.290,,2:00.924,1:56.900,2:02.017,,,,,,,,,,,
,Piranha Plant Slide,2:12.845,2:05.639,2:13.741,2:11.455,2:14.448,,2:16.853,2:17.798,2:20.268,2:20.221,2:12.972,2:20.335,,2:14.808,2:10.920,2:14.448,,,,,,,,,,,
,Grumble Volcano,2:12.643,2:00.570,2:09.108,2:09.725,2:11.863,,2:13.541,2:19.160,2:15.520,2:05.607,2:02.705,2:15.227,,2:10.860,2:06.253,2:11.863,,,,,,,,,,,
,N64 Rainbow Road,1:27.321,1:24.495,1:31.081,1:26.216,1:29.126,,1:30.112,1:30.504,1:29.283,1:29.073,1:26.344,1:30.871,,1:28.579,1:26.776,1:29.126,,,,,,,,,,,
Triforce Cup,Wario's Gold Mine,2:10.918,2:08.592,2:17.530,2:15.045,2:18.694,,2:19.238,2:20.369,2:18.472,2:17.413,2:11.518,2:21.769,,2:16.252,2:12.992,2:17.530,,,,,,,,,,,
,SNES Rainbow Road,1:36.088,1:32.616,1:43.563,1:35.735,1:38.713,,1:39.892,1:39.737,1:38.596,1:36.307,1:34.836,1:40.666,,1:37.916,1:35.187,1:38.596,,,,,,,,,,,
,Ice Ice Outpost,1:59.588,1:53.356,2:02.325,2:02.047,2:06.116,,2:03.411,2:02.248,2:07.388,2:04.183,1:56.652,2:06.369,,2:02.296,1:59.310,2:02.325,,,,,,,,,,,
,Hyrule Circuit,1:58.241,1:54.148,2:11.714,2:02.276,2:05.304,,2:04.160,2:05.802,2:05.455,2:05.389,1:59.228,2:06.265,,2:03.610,1:59.706,2:05.304,,,,,,,,,,,
Bell Cup,Neo Bowser City,1:58.460,1:50.034,2:10.450,2:05.704,2:01.519,,1:55.567,2:05.461,2:05.149,1:53.995,1:55.078,2:06.713,,2:00.704,1:54.514,2:01.519,,,,,,,,,,,
,Ribbon Road,1:58.501,1:53.007,2:03.733,1:59.649,2:00.904,,1:56.465,1:59.287,2:07.678,1:59.141,1:53.613,2:03.797,,1:59.818,1:56.779,1:59.287,,,,,,,,,,,
,Super Bell Subway,1:52.037,1:47.599,1:55.127,1:57.701,2:02.105,,2:04.149,1:58.068,2:01.997,1:59.652,1:53.849,2:04.683,,1:57.604,1:53.116,1:58.068,,,,,,,,,,,
,Big Blue,1:31.407,1:27.962,1:40.153,1:34.584,1:34.831,,1:35.330,1:35.836,1:38.651,1:30.849,1:31.994,1:36.970,,1:34.400,1:31.201,1:34.831,,,,,,,,,,,
Compare to Par (Check to Enable),,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
